ticker,company,first_trade_date,annouce_date,new_shares,second_shares,share_outstandings,tranche_filing_high_range,tranche_filing_low_range,pricing_date,subsprition_start_date,subsprition_end_date,settlement_date,use_of_proceeds,banks,bank_roles,bank_quantity,bank_price,bank_fee,tranche_exchange,,,,,,,,,,,,,,,,,,,
289010,아이스크림에듀,20190711,['20190531'],[-1],[-1],[11187347],[18000],[15900],['20190628'],['20190701'],['20190702'],['20190704'],[],"[['대신증권', '삼성증권']]","[['bookrunner', 'bookrunner']]","[[1160000, 290000]]","[[18440000000, 4611000000]]","[[340493000, 55332000]]",['KOSDAQ'],,,,,,,,,,,,,,,,,,,
327610,주식회사 펨토바이오메드,20190710,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,
251970,펌텍코리아 주식회사,20190704,['20190524'],[-1],[-1],[1492901],[270000],[240000],['20190624'],['20190625'],['20190626'],['20190628'],[],[['한국투자증권']],[['bookrunner']],[[512000]],[[97280000000]],[[1459200000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
309900,주식회사 티티씨디펜스,20190627,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,
323940,케이비제18호기업인수목적 주식회사,20190624,['20190516'],[-1],[-1],[322000],[-1],[-1],['20190612'],['20190613~20190614'],['20190613~20190614'],['20190618'],[],[['KB증권㈜']],[['bookrunner']],[[7500000]],[[15000000000]],[[525000000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
323230,엠에프엠코리아,20190619,['20190513'],[-1],[-1],[310000],[-1],[-1],['20190607'],['20190610'],['20190611'],['20190613'],[],[['신한금융투자']],[['bookrunner']],[[4000000]],[[8000000000]],[[280000000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
293780,압타바이오,20190612,['20190502'],[-1],[-1],[8668400],[25000],[21000],['20190531'],['20190603'],['20190604'],['20190607'],[],"[['삼성증권㈜', '미래에셋대우㈜']]","[['bookrunner', 'bookrunner']]","[[1526000, 654000]]","[[45780000000, 19620000000]]","[[3153999450, 498000000]]",['KOSDAQ'],,,,,,,,,,,,,,,,,,,
278380,주식회사 원바이오젠,20190603,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,
311390,네오크레마,20190822,['20190716'],[-1],[-1],[5659500],[11500],[10000],['20190809'],['20190812'],['20190813'],['20190816'],[],[['키움증권']],[['bookrunner']],[[1550000]],[[12400000000]],[[383160000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
286750,나노브릭,20190819,['20190710'],[-1],[-1],[4090423],[22000],[18000],['20190806'],['20190807'],['20190808'],['20190812'],[],[['KB증권']],[['bookrunner']],[[456000]],[[7296000000]],[[291840000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
228670,주식회사 레이,20190808,['20190701'],[-1],[-1],[5623267],[20000],[17000],['20190725'],['20190729'],['20190730'],['20190801'],[],"[['한국투자증권', 'DB금융투자']]","[['bookrunner', 'bookrunner']]","[[800000, 200000]]","[[16000000000, 4000000000]]","[[494400000, 123600000]]",['KOSDAQ'],,,,,,,,,,,,,,,,,,,
186230,주식회사 그린플러스,20190807,['20190703'],[-1],[-1],[3202873],[10000],[8500],['20190723'],['20190725'],['20190726'],['20190730'],[],[['한국투자증권']],[['bookrunner']],[[700000]],[[7000000000]],[[300000000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
317330,덕산테코피아,20190802,['20190625'],[-1],[-1],[14279330],[19000],[17000],['20190722'],['20190723'],['20190724'],['20190726'],[],[['NH투자증권㈜']],[['bookrunner']],[[4061847]],[[77175093000]],[[1407151476]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
313760,윌링스,20190725,['20190618'],[-1],[-1],[3852630],[12500],[10000],['20190715'],['20190716'],['20190717'],['20190719'],[],[['신영증권']],[['bookrunner']],[[1382000]],[[17275000000]],[[622763750]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
317850,대모엔지니어링주식회사,20190724,['20190614'],[-1],[-1],[6559920],[5200],[4800],['20190712'],['2019715'],['716'],['2019718'],[],[['신한금융투자']],[['bookrunner']],[[2150000]],[[11180000000]],[[335400000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
241840,에이스토리,20190719,['20190611'],[-1],[-1],[7392140],[14300],[11600],['20190708'],['20190709'],['20190710'],['20190712'],[],[['NH투자증권㈜']],[['bookrunner']],[[1870000]],[[26741000000]],[[826296900]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
234340,세틀뱅크,20190712,['20190605'],[-1],[-1],[8340000],[49000],[44000],['20190702'],['20190704'],['20190705'],['20190709'],[],"[['한국투자증권', '신한금융투자']]","[['bookrunner', 'bookrunner']]","[[723500, 723500]]","[[39792500000, 39792500000]]","[[1323100625, 1462374375]]",['KOSDAQ'],,,,,,,,,,,,,,,,,,,
312610,에이에프더블류,20190701,['20190520'],[-1],[-1],[8020000],[22500],[19500],['20190617'],['20190619'],['20190620'],['20190624'],[],[['NH투자증권㈜']],[['bookrunner']],[[3921600]],[[88236000000]],[[2052427770]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
323280,신영해피투모로우제5호기업인수목적 주식회사,20190624,['20190516'],[-1],[-1],[105000],[-1],[-1],['20190612'],['20190613'],['20190614'],['20190618'],[],[['신영증권']],[['bookrunner']],[[3400000]],[[6800000000]],[[204000000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
308100,까스텔바작,20190610,['20190503'],[-1],[-1],[6000000],[19000],[16000],['20190529'],['20190530'],['20190531'],['20190603'],[],[['NH투자증권㈜']],[['bookrunner']],[[1890000]],[[22680000000]],[[397126800]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
305090,마이크로디지탈,20190605,['20190419'],[-1],[-1],[2909800],[23000],[20000],['20190523'],['20190527'],['20190528'],['20190530'],[],[['하나금융투자']],[['bookrunner']],[[700000]],[[16100000000]],[[746235000]],['KOSDAQ']
